cont1_mem,cont1_cpu,cont2_mem,cont2_cpu
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21272,6.4867e-05,21324,6.0905e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21272,6.4867e-05,21324,6.0905e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21272,6.4867e-05,21324,6.0905e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21272,6.4867e-05,21324,6.0905e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21272,6.4867e-05,21324,6.0905e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21272,6.4867e-05,21324,6.0905e-05
21324,6.0905e-05,21272,6.4867e-05
21272,6.4867e-05,21324,6.0905e-05
21272,6.4867e-05,21324,6.0905e-05
21324,6.0905e-05,21272,6.4867e-05
21272,6.4867e-05,21324,6.0905e-05
21324,6.0905e-05,21272,6.4867e-05
21272,6.4867e-05,21324,6.0905e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21272,6.4867e-05,21324,6.0905e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21272,6.4867e-05,21324,6.0905e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21272,6.4867e-05,21324,6.0905e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21272,6.4867e-05,21324,6.0905e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21272,6.4867e-05,21324,6.0905e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21272,6.4867e-05,21324,6.0905e-05
21324,6.0905e-05,21272,6.4867e-05
21272,6.4867e-05,21324,6.0905e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21272,6.4867e-05,21324,6.0905e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21272,6.4867e-05,21324,6.0905e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21272,6.4867e-05,21324,6.0905e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21272,6.4867e-05,21324,6.0905e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21272,6.4867e-05,21324,6.0905e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21272,6.4867e-05,21324,6.0905e-05
21324,6.0905e-05,21272,6.4867e-05
21272,6.4867e-05,21324,6.0905e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21272,6.4867e-05,21324,6.0905e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21272,6.4867e-05,21324,6.0905e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21272,6.4867e-05,21324,6.0905e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21272,6.4867e-05,21324,6.0905e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21272,6.4867e-05,21324,6.0905e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21272,6.4867e-05,21324,6.0905e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21272,6.4867e-05,21324,6.0905e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21272,6.4867e-05,21324,6.0905e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21272,6.4867e-05,21324,6.0905e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21272,6.4867e-05,21324,6.0905e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21272,6.4867e-05,21324,6.0905e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21272,6.4867e-05,21324,6.0905e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21272,6.4867e-05,21324,6.0905e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21272,6.4867e-05,21324,6.0905e-05
21324,6.0905e-05,21272,6.4867e-05
21272,6.4867e-05,21324,6.0905e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.0905e-05,21272,6.4867e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21272,6.9051e-05,21324,6.3799e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21272,6.9051e-05,21324,6.3799e-05
21324,6.3799e-05,21272,6.9051e-05
21272,6.9051e-05,21324,6.3799e-05
21324,6.3799e-05,21272,6.9051e-05
21272,6.9051e-05,21324,6.3799e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21272,6.9051e-05,21324,6.3799e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21272,6.9051e-05,21324,6.3799e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21272,6.9051e-05,21324,6.3799e-05
21272,6.9051e-05,21324,6.3799e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21272,6.9051e-05,21324,6.3799e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21272,6.9051e-05,21324,6.3799e-05
21324,6.3799e-05,21272,6.9051e-05
21272,6.9051e-05,21324,6.3799e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21272,6.9051e-05,21324,6.3799e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21272,6.9051e-05,21324,6.3799e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21272,6.9051e-05,21324,6.3799e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21272,6.9051e-05,21324,6.3799e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21272,6.9051e-05,21324,6.3799e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21272,6.9051e-05,21324,6.3799e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
21324,6.3799e-05,21272,6.9051e-05
