mem,cpu
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.0826e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
23664,5.4955e-05
