pod1_mem,pod1_cpu,pod2_mem,pod2_cpu
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
30364,5.3694e-05,21340,5.6368e-05
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
29968,0.153472953,21364,0.161625154
